sheet,included_public_workbook,n_rows,n_columns,reason,headers
table4_strategy_frontier,True,9,12,public: aggregate/reporting table; no case identifier or time-series key detected,strategy; definition; hdr65; odr65; netbias; relative_hdr_reduction_vs_5min; extra_cuff_inflations_per_hour; cost_domain; measurement_burden; pareto_optimal; scenario_role; modality_burden_note
target_population_table,True,2,2,public: aggregate/reporting table; no case identifier or time-series key detected,step; n
time_window_sensitivity_qc,False,6630,8,restricted: case-level identifier column(s): case_id,case_id; time_window; start_sec; end_sec; total_10s_bins; valid_10s_bins; valid_coverage; include_by_primary_criteria
time_window_sensitivity_summary,True,2,5,public: aggregate/reporting table; no case identifier or time-series key detected,time_window; candidate_cases; included_cases; median_valid_coverage; median_total_10s_bins
transportability_smd,True,4,6,public: aggregate/reporting table; no case identifier or time-series key detected,variable; vitaldb_mean_unweighted; vitaldb_mean_weighted; inspire_mean; smd_before_weighting; smd_after_weighting
vitaldb_manifest_preview,False,1000,89,"restricted: case-level identifier column(s): art_tid, case_id, nibp_tid, subjectid",case_id; subjectid; casestart; caseend; anestart; aneend; opstart; opend; adm; dis; icu_days; death_inhosp; age; sex; height; weight; bmi; asa; emop; department; optype; dx; opname; approach; position; ane_type; preop_htn; preop_dm; preop_ecg; preop_pft; preop_hb; preop_plt; preop_pt; preop_aptt; preop_na; preop_k; preop_gluc; preop_alb; preop_ast; preop_alt; preop_bun; preop_cr; preop_ph; preop_hco3; preop_be; preop_pao2; preop_paco2; preop_sao2; cormack; airway; tubesize; dltubesize; lmasize; iv1; iv2; aline1; aline2; cline1; cline2; intraop_ebl; intraop_uo; intraop_rbc; intraop_ffp; intraop_crystalloid; intraop_colloid; intraop_ppf; intraop_mdz; intraop_ftn; intraop_rocu; intraop_vecu; intraop_eph; intraop_phe; intraop_epi; intraop_ca; duration_min; adult; general_anaesthesia; eligible_surgery; duration_eligible; art_tid; art_track_name; nibp_tid; nibp_track_name; has_art_map; has_nibp_map; primary_time_window; primary_start_sec; primary_end_sec; pre_qc_primary_candidate
vitaldb_weighted_hdr_odr,True,1,12,public: aggregate/reporting table; no case identifier or time-series key detected,threshold; interval_min; role; n_vitaldb_cases; weighted_true_auc; weighted_hidden_auc; weighted_overdisplay_auc; weighted_hdr; weighted_odr; weighted_netbias; median_weight; max_weight
waveform_coverage_flow,True,10,7,public: aggregate/reporting table; no case identifier or time-series key detected,sensitivity; n_cases; excluded_cases; trueauc65; hdr65; odr65; netbias
waveform_qc,False,3315,11,"restricted: case-level identifier column(s): art_tid, case_id",case_id; art_tid; time_window; start_sec; end_sec; total_10s_bins; valid_10s_bins; valid_coverage; extreme_or_missing_bins; flat_adjacent_count; include_primary
waveform_sensitivity_hdr_odr,True,10,13,public: aggregate/reporting table; no case identifier or time-series key detected,sensitivity; n_cases; excluded_cases; trueauc65; hiddenauc65; overauc65; displayauc65; hdr65; odr65; netbias; normotensive_display_discordance_min; hypotensive_display_discordance_min; status
waveform_sensitivity_hdr_odr_cl,True,10,15,public: aggregate/reporting table; no case identifier or time-series key detected,sensitivity; n_cases; excluded_cases; trueauc65; hiddenauc65; overauc65; displayauc65; hdr65; odr65; netbias; normotensive_display_discordance_min; hypotensive_display_discordance_min; status; duplicate_numeric_group; explanation
waveform_sensitivity_row_audit,True,2,3,public: aggregate/reporting table; no case identifier or time-series key detected,duplicate_group; row_count; action
